GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SistemaVentas,Controlador,Validar,132,0,4,0,34,0,7,0,5,0
SistemaVentas,Controlador,Controlador,2641,0,128,0,569,0,87,0,5,0
SistemaVentas,Controlador,MetricsServlet,59,0,0,0,16,0,5,0,5,0
SistemaVentas,Listener,Listener,2,17,0,0,2,7,2,4,2,4
SistemaVentas,Modelo,InventarioDAO,217,0,6,0,51,0,8,0,5,0
SistemaVentas,Modelo,Pedido,128,45,0,0,25,20,10,13,10,13
SistemaVentas,Modelo,Fabrica,18,38,0,0,7,17,1,11,1,11
SistemaVentas,Modelo,MarcaDAO,350,0,8,0,83,0,12,0,8,0
SistemaVentas,Modelo,Venta,213,0,0,0,57,0,29,0,29,0
SistemaVentas,Modelo,PedidoDAO,277,0,4,0,62,0,7,0,5,0
SistemaVentas,Modelo,Empleado,24,42,0,0,9,19,2,12,2,12
SistemaVentas,Modelo,ClienteRepository,78,0,2,0,17,0,3,0,2,0
SistemaVentas,Modelo,EmpleadoDAO,353,0,6,0,81,0,10,0,7,0
SistemaVentas,Modelo,ClienteDAO,454,0,6,0,98,0,10,0,7,0
SistemaVentas,Modelo,Marca,15,31,0,0,6,14,1,9,1,9
SistemaVentas,Modelo,DetalleVenta,86,0,0,0,36,0,18,0,18,0
SistemaVentas,Modelo,Inventario,15,31,0,0,6,14,1,9,1,9
SistemaVentas,Modelo,Producto,301,0,0,0,77,0,39,0,39,0
SistemaVentas,Modelo,Cliente,103,60,0,0,14,27,4,17,4,17
SistemaVentas,Modelo,DetalleVentaDAO,134,0,2,0,31,0,4,0,3,0
SistemaVentas,Modelo,ProductoDAO,682,0,8,0,140,0,13,0,9,0
SistemaVentas,Modelo,PedidoRepository,252,0,6,0,50,0,8,0,5,0
SistemaVentas,Modelo,VentaDAO,221,0,4,0,54,0,7,0,5,0
SistemaVentas,Modelo,FabricaDAO,334,0,6,0,76,0,10,0,7,0
SistemaVentas,Config,Conexion,17,0,0,0,6,0,2,0,2,0
